tcpdump -i eth0 src 165.227.42.177

19:16:51.996013 IP lamponubuntu2204-s-1vcpu-1gb-35gb-intel-tor1-01.ssh > 198.96.85.21.51536: Flags [P.], seq 40184:40668, ack 37, win 501, length 484
19:16:51.996071 IP lamponubuntu2204-s-1vcpu-1gb-35gb-intel-tor1-01.ssh > 198.96.85.21.51536: Flags [P.], seq 40668:41152, ack 37, win 501, length 484
19:16:51.996121 IP lamponubuntu2204-s-1vcpu-1gb-35gb-intel-tor1-01.ssh > 198.96.85.21.51536: Flags [P.], seq 41152:41492, ack 37, win 501, length 340
19:16:51.996170 IP lamponubuntu2204-s-1vcpu-1gb-35gb-intel-tor1-01.ssh > 198.96.85.21.51536: Flags [P.], seq 41492:41824, ack 37, win 501, length 332
19:16:51.996239 IP lamponubuntu2204-s-1vcpu-1gb-35gb-intel-tor1-01.ssh > 198.96.85.21.51536: Flags [P.], seq 41824:42308, ack 37, win 501, length 484
19:16:51.996315 IP lamponubuntu2204-s-1vcpu-1gb-35gb-intel-tor1-01.ssh > 198.96.85.21.51536: Flags [P.], seq 42308:42944, ack 37, win 501, length 636
19:16:51.996367 IP lamponubuntu2204-s-1vcpu-1gb-35gb-intel-tor1-01.ssh > 198.96.85.21.51536: Flags [P.], seq 42944:43284, ack 37, win 501, length 340
19:16:51.996420 IP lamponubuntu2204-s-1vcpu-1gb-35gb-intel-tor1-01.ssh > 198.96.85.21.51536: Flags [P.], seq 43284:43616, ack 37, win 501, length 332
19:16:51.996500 IP lamponubuntu2204-s-1vcpu-1gb-35gb-intel-tor1-01.ssh > 198.96.85.21.51536: Flags [P.], seq 43616:44100, ack 37, win 501, length 484
19:16:51.996548 IP lamponubuntu2204-s-1vcpu-1gb-35gb-intel-tor1-01.ssh > 198.96.85.21.51536: Flags [P.], seq 44100:44440, ack 37, win 501, length 340
19:16:51.996599 IP lamponubuntu2204-s-1vcpu-1gb-35gb-intel-tor1-01.ssh > 198.96.85.21.51536: Flags [P.], seq 44440:44780, ack 37, win 501, length 340
19:16:51.996660 IP lamponubuntu2204-s-1vcpu-1gb-35gb-intel-tor1-01.ssh > 198.96.85.21.51536: Flags [P.], seq 44780:45264, ack 37, win 501, length 484
19:16:51.996713 IP lamponubuntu2204-s-1vcpu-1gb-35gb-intel-tor1-01.ssh > 198.96.85.21.51536: Flags [P.], seq 45264:45604, ack 37, win 501, length 340
19:16:51.996765 IP lamponubuntu2204-s-1vcpu-1gb-35gb-intel-tor1-01.ssh > 198.96.85.21.51536: Flags [P.], seq 45604:45944, ack 37, win 501, length 340
19:16:51.996821 IP lamponubuntu2204-s-1vcpu-1gb-35gb-intel-tor1-01.ssh > 198.96.85.21.51536: Flags [P.], seq 45944:46428, ack 37, win 501, length 484
19:16:51.996870 IP lamponubuntu2204-s-1vcpu-1gb-35gb-intel-tor1-01.ssh > 198.96.85.21.51536: Flags [P.], seq 46428:46768, ack 37, win 501, length 340
19:16:51.996927 IP lamponubuntu2204-s-1vcpu-1gb-35gb-intel-tor1-01.ssh > 198.96.85.21.51536: Flags [P.], seq 46768:47252, ack 37, win 501, length 484
19:16:51.996975 IP lamponubuntu2204-s-1vcpu-1gb-35gb-intel-tor1-01.ssh > 198.96.85.21.51536: Flags [P.], seq 47252:47592, ack 37, win 501, length 340
19:16:51.997025 IP lamponubuntu2204-s-1vcpu-1gb-35gb-intel-tor1-01.ssh > 198.96.85.21.51536: Flags [P.], seq 47592:47932, ack 37, win 501, length 340
19:16:51.997078 IP lamponubuntu2204-s-1vcpu-1gb-35gb-intel-tor1-01.ssh > 198.96.85.21.51536: Flags [P.], seq 47932:48120, ack 37, win 501, length 188
19:16:51.997120 IP lamponubuntu2204-s-1vcpu-1gb-35gb-intel-tor1-01.ssh > 198.96.85.21.51536: Flags [P.], seq 48120:48308, ack 37, win 501, length 188
19:16:51.997176 IP lamponubuntu2204-s-1vcpu-1gb-35gb-intel-tor1-01.ssh > 198.96.85.21.51536: Flags [P.], seq 48308:48792, ack 37, win 501, length 484
