root@lamponubuntu2204-s-1vcpu-1gb-35gb-intel-tor1-01:~# tcpdump -n -i eth0
tcpdump: verbose output suppressed, use -v[v]... for full protocol decode
listening on eth0, link-type EN10MB (Ethernet), snapshot length 262144 bytes
19:13:06.346163 IP 165.227.42.177.22 > 198.96.85.21.51536: Flags [P.], seq 2061439511:2061439619, ack 2060787628, win 501, length 108
19:13:06.346226 IP 165.227.42.177.22 > 198.96.85.21.51536: Flags [P.], seq 108:144, ack 1, win 501, length 36
19:13:06.346266 IP 165.227.42.177.22 > 198.96.85.21.51536: Flags [P.], seq 144:196, ack 1, win 501, length 52
19:13:06.346300 IP 165.227.42.177.22 > 198.96.85.21.51536: Flags [P.], seq 196:264, ack 1, win 501, length 68
19:13:06.346338 IP 165.227.42.177.22 > 198.96.85.21.51536: Flags [P.], seq 264:332, ack 1, win 501, length 68
19:13:06.346369 IP 165.227.42.177.22 > 198.96.85.21.51536: Flags [P.], seq 332:368, ack 1, win 501, length 36
19:13:06.349236 IP 198.96.85.21.51536 > 165.227.42.177.22: Flags [.], ack 368, win 2050, length 0
19:13:06.446747 IP 165.227.42.177.22 > 198.96.85.21.51536: Flags [P.], seq 368:540, ack 1, win 501, length 172
19:13:06.446807 IP 165.227.42.177.22 > 198.96.85.21.51536: Flags [P.], seq 540:576, ack 1, win 501, length 36
19:13:06.446841 IP 165.227.42.177.22 > 198.96.85.21.51536: Flags [P.], seq 576:724, ack 1, win 501, length 148
19:13:06.446863 IP 165.227.42.177.22 > 198.96.85.21.51536: Flags [P.], seq 724:760, ack 1, win 501, length 36
19:13:06.446893 IP 165.227.42.177.22 > 198.96.85.21.51536: Flags [P.], seq 760:908, ack 1, win 501, length 148
19:13:06.446914 IP 165.227.42.177.22 > 198.96.85.21.51536: Flags [P.], seq 908:944, ack 1, win 501, length 36
19:13:06.446943 IP 165.227.42.177.22 > 198.96.85.21.51536: Flags [P.], seq 944:1092, ack 1, win 501, length 148
19:13:06.446964 IP 165.227.42.177.22 > 198.96.85.21.51536: Flags [P.], seq 1092:1128, ack 1, win 501, length 36
